season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2010,Frans Nielsen,NYI,F,71,17.7634,23,66,63,9,635,61,635,69,14.373835
2010,Jaroslav Spacek,MTL,D,59,19.2432,61,30,90,18,592,47,594,47,18.900615
2010,Antti Miettinen,MIN,F,73,17.0256,109,23,14,17,561,49,597,60,14.754862
2010,Kyle Quincey,COL,D,21,19.5817,28,6,26,9,203,26,227,18,13.225531
2010,Sergei Samsonov,FLA,F,78,15.487,56,43,34,7,556,41,692,59,15.851986
2010,Tyson Strachan,STL,D,29,12.1402,23,3,30,7,183,22,162,8,12.705947
2010,Andrew MacDonald,NYI,D,60,23.4142,38,49,160,13,718,65,689,80,22.730369
2010,Alex Kovalev,PIT,F,74,16.5137,14,38,8,17,561,41,660,51,6.523745
2010,Keaton Ellerby,FLA,D,54,16.0935,74,14,68,12,411,38,424,21,20.651794
2010,Teemu Laakso,NSH,D,1,2.7167,1,0,0,0,1,0,1,0,27.166667
2010,Jeremy Morin,CHI,F,9,12.0963,12,3,2,3,51,4,48,8,15.156694
2010,John Erskine,WSH,D,73,14.9986,166,11,120,34,542,41,520,36,26.723861
2010,Dany Heatley,S.J,F,80,19.6515,104,29,29,27,707,59,992,108,13.281195
2010,Jay Leach,N.J,D,7,14.2429,5,1,6,2,41,3,31,3,15.231063
2010,Tom Sestito,CBJ,F,9,9.5278,31,1,3,9,35,6,38,4,18.743169
2010,Chris Kunitz,PIT,F,66,18.2798,155,18,14,22,503,38,758,81,21.367347
2010,Jason Pominville,BUF,F,73,18.1402,35,43,50,6,640,63,869,82,12.274552
2010,Jay Beagle,WSH,F,31,10.5043,45,10,8,4,156,10,100,7,21.836286
2010,Jeff Schultz,WSH,D,72,19.616,53,17,138,6,763,60,610,53,19.828999
2010,Michal Rozsival,ARI,D,65,21.0023,100,24,108,21,666,59,678,62,20.767911
2010,Torrey Mitchell,S.J,F,66,13.3465,57,32,27,17,381,29,472,30,15.560677
2010,Ben Smith,CHI,F,6,13.7806,7,3,5,0,37,2,42,3,32.017468
2010,Mike Rupp,PIT,F,81,10.0553,181,9,17,40,358,30,385,27,19.601727
2010,Brandon Prust,NYR,F,82,13.8114,161,26,36,39,600,47,500,39,17.227736
2010,Corey Perry,ANA,F,82,22.313,64,55,41,39,887,92,1006,131,9.370282
2010,Arron Asham,PIT,F,44,9.5519,107,7,16,14,189,15,201,15,26.646633
2010,Todd White,NYR,F,18,7.6787,1,3,4,1,82,5,51,3,4.796483
2010,Christopher Tanev,VAN,D,29,13.7908,10,10,32,0,174,15,195,13,18.828912
2010,Daniel Sedin,VAN,F,82,18.553,13,36,12,16,622,44,1019,130,6.522286
2010,Daymond Langkow,CGY,F,4,14.7583,4,5,0,0,31,1,30,3,29.0275
2010,Joffrey Lupul,TOR,F,54,15.6228,63,18,29,10,448,38,433,48,14.346086
2010,Matt Niskanen,PIT,D,63,16.528,122,7,66,21,446,30,492,35,25.004988
2010,Brian Gionta,MTL,F,82,19.6189,87,45,31,12,745,61,989,78,14.68818
2010,Jan Mursak,DET,F,19,8.193,14,5,3,2,50,4,83,1,18.177636
2010,Kris Draper,DET,F,47,10.45,45,16,11,7,264,26,273,23,12.357724
2010,Adam Hall,T.B,F,82,14.8494,152,22,59,13,602,62,503,28,20.166109
2010,Ales Kotalik,CGY,F,26,12.3731,38,7,4,4,147,14,174,11,16.398581
2010,Justin Falk,MIN,D,22,14.1568,22,3,17,3,178,13,106,10,14.698962
2010,Josh Gorges,MTL,D,36,21.1731,55,8,79,9,415,36,298,25,21.981323
2010,Jordin Tootoo,NSH,F,54,11.8772,95,25,17,19,317,15,283,23,22.57378
2010,Tomas Vincour,DAL,F,24,9.4271,36,4,11,1,100,9,100,4,24.747989
2010,Alexander Sulzer,FLA,D,40,17.5483,38,8,52,7,344,28,303,18,17.947731
2010,Mike Brown,TOR,F,50,10.094,105,11,27,16,278,27,166,16,20.271866
2010,Marc Methot,CBJ,D,74,19.8892,176,21,98,26,820,85,625,53,19.378772
2010,Jeff Petry,EDM,D,35,20.3738,48,16,49,5,316,36,317,25,19.996422
2010,Shawn Matthias,FLA,F,51,11.8405,60,22,20,5,304,25,357,26,18.320761
2010,Jonas Andersson,VAN,F,4,6.0542,3,0,1,0,6,0,7,1,40.361111
2010,Brian Strait,PIT,D,3,13.5389,2,1,2,0,12,2,23,1,17.323003
2010,Mike Knuble,WSH,F,79,17.8055,74,45,31,18,680,45,819,66,14.823529
2010,Chris Clark,CBJ,F,53,14.6425,89,18,9,16,427,33,295,23,14.841013
2010,Brett Clark,T.B,D,82,18.8821,117,20,157,7,634,51,873,79,32.104219
2010,Derek MacKenzie,CBJ,F,63,10.8468,159,33,26,8,343,32,316,37,30.437509
2010,David Legwand,NSH,F,64,18.8052,36,55,20,11,635,47,600,56,12.09582
2010,Joe Vitale,PIT,F,9,10.5722,18,5,2,5,42,4,49,3,19.271276
2010,Rob Scuderi,L.A,D,82,20.2898,64,22,122,8,918,77,661,52,15.969986
2010,Rich Peverley,BOS,F,82,18.2579,32,63,44,17,800,73,827,66,10.387352
2010,Artem Anisimov,NYR,F,82,16.1955,74,46,45,10,602,51,688,64,16.80745
2010,Andre Benoit,OTT,D,8,16.8354,5,3,12,3,54,4,73,5,19.59339
2010,Matt Calvert,CBJ,F,42,11.0937,51,7,8,6,199,19,273,28,15.370933
2010,Mike Santorelli,FLA,F,82,16.677,60,32,22,10,710,70,751,63,9.300541
2010,Willie Mitchell,L.A,D,57,21.8149,35,12,85,9,653,52,497,47,14.516078
2010,Ryan Reaves,STL,F,28,6.8054,86,2,9,18,88,7,77,6,25.572758
2010,Jarkko Ruutu,ANA,F,73,11.3715,131,17,29,34,406,39,321,20,16.282837
2010,Patrick Kaleta,BUF,F,51,10.1866,126,11,33,21,241,21,253,16,25.891534
2010,Fernando Pisani,CHI,F,60,12.5731,69,32,21,5,407,34,311,21,17.093823
2010,Matt Greene,L.A,D,71,16.9763,243,8,105,27,593,50,478,35,31.805289
2010,Travis Zajac,N.J,F,82,19.7829,55,60,31,9,685,70,840,67,12.849193
2010,Ryan Jones,EDM,F,81,13.837,152,38,57,14,611,54,412,37,22.022729
2010,Philippe Dupuis,COL,F,74,9.1131,128,44,28,13,383,42,279,24,20.612696
2010,Blake Wheeler,ATL,F,81,16.2473,74,40,47,23,661,53,744,57,13.797995
2010,Mike Commodore,CBJ,D,20,18.56,38,5,25,16,203,18,176,9,15.132128
2010,Ryan Carter,FLA,F,62,10.0194,133,23,22,24,371,27,274,15,20.220763
2010,Maxim Noreau,MIN,D,5,14.2867,2,3,4,0,37,4,41,3,13.657414
2010,Drew Doughty,L.A,D,76,25.643,137,22,101,29,805,82,1042,107,18.259375
2010,Chris VandeVelde,EDM,F,12,17.2764,19,6,12,5,104,12,81,7,16.073136
2010,Ryan Wilson,COL,D,67,19.806,135,28,110,25,729,80,593,53,19.251507
2010,Tyler Eckford,N.J,D,4,8.7167,3,0,2,0,16,1,16,0,17.633176
2010,Mike Duco,FLA,F,2,8.55,6,0,0,2,14,1,3,0,12.938209
2010,Ryan McDonagh,NYR,D,40,18.685,56,18,69,7,372,28,392,39,26.043081
2010,Nick Spaling,NSH,F,74,13.93,37,44,33,10,606,48,369,24,11.231154
2010,Nicklas Lidstrom,DET,D,82,23.4685,49,33,92,10,1005,98,1133,122,11.536674
2010,Pavel Datsyuk,DET,F,56,19.3226,54,71,20,6,465,45,674,76,19.316577
2010,Brandon Yip,COL,F,71,13.7329,77,20,21,22,499,56,471,36,10.320442
2010,Jamie Langenbrunner,DAL,F,70,17.4412,96,28,25,21,579,67,610,51,12.294006
2010,Lee Sweatt,VAN,D,3,13.3889,4,0,6,1,18,0,16,4,42.654867
2010,Adam Foote,COL,D,47,17.9252,55,4,67,15,539,61,334,30,11.879011
2010,Nicklas Grossmann,DAL,D,59,18.1977,161,8,78,16,574,52,396,40,24.813552
2010,Andy McDonald,STL,F,58,20.0348,40,23,27,13,440,36,676,72,12.682877
2010,Brent Sopel,MTL,D,71,16.3437,36,25,152,9,722,76,438,44,16.489112
2010,Dmitry Kulikov,FLA,D,72,19.9505,107,18,79,21,687,62,746,59,17.371269
2010,Johan Franzen,DET,F,76,17.4338,143,36,29,24,604,51,812,87,18.970244
2010,Brian Willsie,WSH,F,1,6.25,0,0,2,0,7,1,2,1,9.433962
2010,Joey Crabb,TOR,F,48,12.9795,99,21,20,11,343,30,286,28,20.763424
2010,Jordan Staal,PIT,F,42,21.3532,70,20,13,8,431,37,449,47,15.801338
2010,Nick Bonino,ANA,F,26,9.8071,18,10,10,2,119,7,117,4,17.980398
2010,Patrick Sharp,CHI,F,74,19.4128,76,64,26,18,636,68,864,96,13.977555
2010,Ed Jovanovski,ARI,D,50,20.4783,87,9,91,18,593,51,460,39,19.089924
2010,Justin DiBenedetto,NYI,F,8,9.0646,13,0,3,1,30,4,32,2,19.254875
2010,Tomas Kopecky,CHI,F,81,15.3226,77,50,24,30,514,60,715,71,12.222253
2010,Patrice Cormier,ATL,F,21,9.6444,31,6,15,2,114,9,92,3,22.786753
