season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2021,Olli Juolevi,DET,D,18,12.7537,14,2,10,3,129,10,137,9,11.248249
2021,Jesper Froden,BOS,F,7,12.869,8,0,5,1,35,0,45,4,34.949018
2021,Blake Lizotte,LAK,F,70,12.1638,74,31,12,14,355,34,448,40,15.158398
2021,Torey Krug,STL,D,64,20.551,53,16,70,24,666,53,803,112,12.704841
2021,Oliver Ekman-Larsson,VAN,D,79,22.3118,105,26,79,26,1000,83,927,79,13.652383
2021,Sami Niku,MTL,D,13,15.2833,6,2,17,1,89,6,106,10,19.495705
2021,Nicolas Beaudin,CHI,D,2,6.1583,0,0,1,0,6,1,3,0,5.065113
2021,Kristian Reichel,WPG,F,13,10.4038,14,7,10,2,70,5,61,3,22.581123
2021,Dougie Hamilton,NJD,D,62,21.2237,87,20,92,17,665,90,801,80,14.385581
2021,Dennis Cholowski,SEA,D,11,15.8136,5,1,13,1,92,13,78,10,9.587358
2021,Pat Maroon,TBL,F,81,12.3961,160,16,11,32,424,20,508,49,21.692645
2021,Gavin Bayreuther,CBJ,D,43,13.0562,50,12,45,8,322,31,274,29,16.807354
2021,Carson Meyer,CBJ,F,13,8.2269,27,4,2,3,57,3,51,3,25.52506
2021,Devon Toews,COL,D,66,25.3692,54,45,85,10,883,77,995,123,15.105989
2021,Connor Brown,OTT,F,64,20.0568,14,51,37,5,697,82,663,58,8.37773
2021,Kasperi Kapanen,PIT,F,79,14.5323,110,40,19,8,538,41,673,49,19.646357
2021,Travis Sanheim,PHI,D,80,22.9702,64,23,142,17,1105,109,932,90,13.152923
2021,Troy Terry,ANA,F,75,18.2364,6,35,27,13,647,80,744,89,5.292718
2021,David Savard,MTL,D,62,20.7906,134,7,127,18,862,98,553,46,17.020081
2021,Jacob Trouba,NYR,D,81,22.4249,207,24,177,35,970,77,898,88,26.279263
2021,Tyce Thompson,NJD,F,2,14.4167,2,2,0,0,21,1,11,1,16.282353
2021,Jason Robertson,DAL,F,74,18.1113,50,48,24,11,609,62,883,114,11.441917
2021,Jakub Galvas,CHI,D,6,18.1583,2,1,9,0,71,5,56,3,13.467937
2021,Anthony Angello,PIT,F,4,6.6292,13,0,0,1,10,1,9,1,37.053028
2021,Marcus Foligno,MIN,F,74,16.4079,238,28,42,30,594,58,613,72,24.79829
2021,Warren Foegele,EDM,F,82,12.6122,127,44,15,12,471,50,571,43,18.72267
2021,J.T. Miller,VAN,F,80,21.0573,172,56,56,22,874,88,983,129,18.745155
2021,Cal Clutterbuck,NYI,F,59,14.0418,229,21,23,5,436,40,289,18,35.897373
2021,Oliver Bjorkstrand,CBJ,F,80,17.9498,85,57,31,8,700,85,840,84,13.106292
2021,Antoine Roussel,ARI,F,53,12.1428,74,9,34,13,408,41,245,12,13.356126
2021,Hendrix Lapierre,WSH,F,6,9.5889,1,3,2,1,23,1,28,3,13.640674
2021,Vasily Podkolzin,VAN,F,79,12.7909,84,32,33,13,482,33,523,46,17.805298
2021,Yakov Trenin,NSH,F,80,14.6677,191,37,33,17,631,41,494,39,25.836552
2021,Riley Damiani,DAL,F,7,8.5357,4,3,0,1,26,2,32,2,11.577855
2021,Phil Kessel,ARI,F,82,16.6778,6,39,21,15,720,79,708,79,4.811511
2021,Roope Hintz,DAL,F,80,18.036,82,24,53,14,690,69,870,108,13.112674
2021,Taro Hirose,DET,F,15,10.66,9,3,2,2,77,10,74,7,7.282842
2021,Nikita Zadorov,CGY,D,74,16.9101,181,32,49,31,579,44,713,50,23.983928
2021,Nicholas Abruzzese,TOR,F,9,10.2148,7,0,3,1,43,3,42,2,12.180903
2021,Lucas Raymond,DET,F,82,18.1569,62,26,24,8,728,91,877,87,8.052055
2021,Ivan Provorov,PHI,D,79,24.8907,74,17,172,17,1061,115,977,79,15.06073
2021,Jaret Anderson-Dolan,LAK,F,7,13.7905,12,2,3,2,34,3,37,0,22.771508
2021,Alexis Lafreniere,NYR,F,79,13.9956,108,44,26,17,520,40,554,49,18.905074
2021,Nicklas Backstrom,WSH,F,47,17.4908,16,25,16,6,368,43,480,60,8.138247
2021,John Tavares,TOR,F,79,18.0741,90,40,44,16,712,79,979,119,12.947055
2021,Auston Matthews,TOR,F,73,20.6096,67,92,62,9,634,81,1085,147,18.300401
2021,Jamie Drysdale,ANA,D,81,19.8852,40,19,72,8,829,85,823,76,9.726086
2021,Erik Haula,BOS,F,78,15.0934,129,25,36,21,550,42,667,61,19.107033
2021,Pierre Engvall,TOR,F,78,13.2829,66,32,12,15,495,36,559,45,12.462338
2021,Matt Nieto,SJS,F,70,14.4036,96,21,47,8,508,53,390,26,17.035593
2021,Andrew Ladd,ARI,F,51,14.1203,68,17,33,17,384,41,308,25,13.850584
2021,Derek Stepan,CAR,F,58,10.7957,29,22,25,7,284,27,329,25,12.602228
2021,Ross Colton,TBL,F,79,12.7979,153,29,36,7,444,38,561,48,27.3549
2021,Jon Lizotte,MIN,D,1,14.7167,3,0,4,1,9,1,6,1,26.80399
2021,Jonah Gadjovich,SJS,F,43,8.7558,104,7,14,17,204,18,160,9,21.441263
2021,Timothy Liljegren,TOR,D,61,16.4003,87,19,60,7,474,52,561,62,18.884676
2021,Alex Tuch,BUF,F,50,18.4083,32,40,49,7,464,60,567,65,13.122794
2021,Dylan Cozens,BUF,F,79,15.8924,35,33,22,17,631,68,679,67,7.217061
2021,Jordan Oesterle,DET,D,45,18.287,27,6,44,2,467,50,378,29,9.930715
2021,Jake Walman,DET,D,51,14.0239,47,9,58,5,323,27,371,22,20.715152
2021,Nick Foligno,BOS,F,64,12.4635,164,22,31,23,345,32,455,20,26.245533
2021,Robert Hagg,FLA,D,64,16.0193,138,10,102,16,651,60,462,38,21.433736
2021,Duncan Keith,EDM,D,64,19.7268,22,36,114,11,685,57,641,61,16.743848
2021,Tyler Pitlick,MTL,F,40,11.0867,70,14,26,4,238,23,225,10,22.695748
2021,Zach Bogosian,TBL,D,48,15.3625,114,7,34,17,402,22,321,23,23.78482
2021,Mike Reilly,BOS,D,70,18.9469,94,19,54,17,634,57,871,53,15.540387
2021,Drew O'Connor,PIT,F,22,10.2833,12,9,7,2,89,9,150,8,14.245898
2021,Jakob Chychrun,ARI,D,47,22.9918,51,19,66,17,578,67,478,39,12.461133
2021,Ryan Hartman,MIN,F,82,18.1805,72,35,48,38,752,75,880,112,10.041265
2021,Ryan Nugent-Hopkins,EDM,F,63,19.3183,42,43,34,8,633,57,704,92,12.171804
2021,Justin Barron,MTL,D,7,17.1786,5,2,5,0,68,8,62,5,10.034771
2021,Clayton Keller,ARI,F,67,20.1388,17,61,31,14,737,74,673,86,8.748274
2021,Wyatt Kalynuk,CHI,D,5,11.9967,9,1,0,1,32,4,21,1,13.042218
2021,Jakob Silfverberg,ANA,F,53,17.039,16,30,40,15,508,43,410,45,9.793431
2021,Zach Hyman,EDM,F,76,19.4649,74,29,31,18,823,80,889,89,9.552242
2021,Kaedan Korczak,VGK,D,1,16.6167,0,0,1,0,10,0,7,1,16.616667
2021,Alexander Radulov,DAL,F,71,14.0967,43,30,48,16,455,45,557,44,12.972112
2021,Oskar Lindblom,PHI,F,79,13.8011,83,19,48,11,610,59,535,41,13.134906
2021,Kristians Rubins,TOR,D,3,11.75,12,0,2,2,12,3,16,1,23.250883
2021,Nick Blankenburg,CBJ,D,7,17.5714,19,1,12,2,60,5,61,4,30.725995
2021,Riley Barber,DET,F,4,8.4417,3,1,1,1,21,3,15,1,7.706939
2021,Kiefer Sherwood,COL,F,11,8.5667,12,4,4,0,41,2,48,5,29.472477
2021,Matthew Tkachuk,CGY,F,82,17.8994,93,41,20,33,602,51,1071,147,13.091628
2021,Connor Bunnaman,PHI,F,15,10.01,17,0,2,2,79,10,54,1,9.551527
2021,Brett Kulak,EDM,D,74,17.7547,103,21,63,21,670,69,638,57,14.639521
2021,Garrett Pilon,WSH,F,2,9.4083,2,1,0,0,7,0,8,1,40.321429
2021,Sammy Blais,NYR,F,14,13.4583,37,2,8,7,102,5,92,8,24.005376
2021,Seth Jarvis,CAR,F,68,13.875,69,15,21,9,433,40,572,58,13.091093
2021,Lukas Reichel,CHI,F,11,13.1955,0,6,3,0,76,9,77,2,6.097743
2021,Dawson Mercer,NJD,F,82,16.5413,26,56,35,13,690,91,723,77,8.029435
2021,Calvin de Haan,CHI,D,69,18.9577,146,18,172,15,708,80,574,40,25.387951
2021,Matt Roy,LAK,D,67,20.9836,124,8,103,13,681,61,800,68,22.075274
2021,Miles Wood,NJD,F,3,14.7611,5,0,1,2,32,2,12,0,9.72785
2021,Ryan McDonagh,TBL,D,71,22.4437,96,26,137,8,897,76,633,63,20.892701
2021,Jake Guentzel,PIT,F,76,20.0974,72,41,38,21,796,70,1067,126,11.561386
2021,Thomas Harley,DAL,D,34,13.6897,30,9,30,3,228,21,251,17,16.972145
2021,Remi Elie,TBL,F,1,10.95,3,0,0,0,8,2,10,0,10.986622
2021,Chad Ruhwedel,PIT,D,78,15.3306,149,19,86,7,613,59,603,48,23.965541
