season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2024,Michael Bunting,NSH,F,76,15.5305,70,13,19,26,506,60,625,67,8.601709
2024,Ilya Lyubushkin,DAL,D,80,17.3869,84,20,136,16,761,74,530,53,17.941424
2024,Carson Soucy,NYR,D,75,17.9151,115,17,106,18,687,77,480,42,17.848102
2024,Nolan Foote,NJD,F,7,9.8238,11,1,1,0,23,3,33,3,24.338869
2024,Ivan Barbashev,VGK,F,70,16.7983,104,18,33,5,533,43,588,74,19.440773
2024,Egor Zamula,PHI,D,63,16.5225,24,15,91,3,420,58,452,41,15.042831
2024,Leo Carlsson,ANA,F,76,16.2404,24,18,36,7,561,47,635,64,8.809221
2024,Brett Howden,VGK,F,80,14.8629,121,22,56,19,539,61,535,63,17.116107
2024,Adam Henrique,EDM,F,81,14.644,58,19,85,8,583,54,508,49,15.911768
2024,Steven Lorentz,TOR,F,80,10.5529,199,12,55,3,372,31,294,27,38.411043
2024,Zack MacEwen,OTT,F,21,7.7611,49,3,7,6,72,5,85,5,29.096975
2024,Gabe Perreault,NYR,F,5,14.4367,1,1,1,0,33,1,28,0,9.130068
2024,Cam Atkinson,TBL,F,39,8.9927,15,3,10,4,170,18,156,16,6.845271
2024,Ryan Poehling,PHI,F,68,13.8799,26,11,79,8,424,57,378,44,12.140525
2024,Ian Cole,UTA,D,82,20.2821,106,25,211,35,874,91,701,60,20.225657
2024,Barclay Goodrow,SJS,F,77,13.7835,150,26,60,26,616,75,363,20,16.198672
2024,Adam Pelech,NYI,D,60,21.1139,73,36,87,15,572,65,599,51,18.302162
2024,Albert Johansson,DET,D,61,16.3609,70,15,83,10,445,45,387,30,20.438219
2024,Chad Ruhwedel,NYR,D,5,14.1033,8,1,5,0,47,3,25,4,22.108013
2024,Jake McCabe,TOR,D,66,21.5126,118,9,135,17,740,75,605,76,20.72811
2024,Mathieu Olivier,CBJ,F,82,14.4591,306,22,80,42,582,61,483,48,28.481409
2024,Danton Heinen,PIT,F,79,13.4428,81,19,37,9,476,47,434,44,14.987547
2024,Erik Gudbranson,CBJ,D,16,17.7708,26,3,19,3,156,18,117,17,16.11905
2024,Mason Marchment,DAL,F,62,15.3398,79,22,21,24,430,37,516,68,13.702987
2024,Sonny Milano,WSH,F,3,7.2111,1,0,0,0,16,3,13,0,1.91615
2024,Sean Durzi,UTA,D,30,20.6478,15,11,52,8,259,30,285,34,15.432183
2024,Zach Werenski,CBJ,D,81,26.7453,19,49,131,14,1029,108,1240,134,12.400755
2024,Brendan Brisson,VGK,F,9,9.8667,9,1,0,0,54,6,32,3,8.716137
2024,Anthony Duclair,NYI,F,44,15.0417,26,9,21,5,313,34,349,24,9.363161
2024,Scott Laughton,TOR,F,80,14.6004,178,19,54,13,545,76,468,42,19.86896
2024,Christian Dvorak,MTL,F,82,15.2437,44,18,74,8,672,71,449,48,11.049384
2024,Nick Foligno,CHI,F,78,15.9248,200,16,34,18,668,97,501,57,15.928925
2024,Oskar Bck,DAL,F,73,11.7037,28,12,35,5,405,31,290,20,10.62254
2024,Owen Power,BUF,D,79,21.3118,26,26,109,8,804,99,801,84,11.124504
2024,Dylan Holloway,STL,F,77,16.8245,165,34,50,5,506,47,666,86,30.338009
2024,Roman Josi,NSH,D,53,25.0324,42,23,95,9,615,80,771,74,14.088455
2024,Jon Merrill,MIN,D,70,14.095,41,14,85,10,502,52,375,30,14.34199
2024,Gage Goncalves,TBL,F,60,12.7936,71,18,20,7,333,26,320,36,18.46562
2024,Luke Hughes,NJD,D,71,21.158,19,33,60,9,605,60,740,67,11.476067
2024,Tyler Tucker,STL,D,38,14.5768,81,13,39,17,236,20,211,20,25.004624
2024,Connor Brown,EDM,F,82,14.0098,19,26,37,5,549,55,491,46,8.267214
2024,Michael Kesselring,UTA,D,82,17.6866,87,22,67,27,633,57,718,55,14.692398
2024,Frank Vatrano,ANA,F,81,17.5453,169,13,69,35,730,72,787,68,16.890225
2024,Jakub Vrana,NSH,F,39,10.3504,19,6,8,5,179,19,173,19,7.991481
2024,Brock Faber,MIN,D,78,25.525,36,29,115,12,1013,95,909,87,12.271061
2024,Kirill Kaprizov,MIN,F,41,22.4671,16,12,17,8,376,36,528,71,7.409163
2024,Drew Helleson,ANA,D,56,16.3512,99,17,73,17,507,38,342,39,21.974977
2024,Sean Couturier,PHI,F,79,17.2937,54,28,45,18,576,68,698,76,10.644809
2024,Anze Kopitar,LAK,F,81,18.9558,31,30,67,2,655,74,769,102,11.578038
2024,Jamie Drysdale,PHI,D,70,19.9169,18,20,102,11,609,90,654,70,10.640154
2024,Shayne Gostisbehere,CAR,D,70,18.521,41,36,66,22,418,50,794,90,15.121229
