season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2012,Ryan Johansen,CBJ,F,40,16.0842,42,15,14,6,323,25,320,24,13.899259
2012,Stephen Weiss,FLA,F,17,18.4608,6,13,10,6,166,22,124,7,7.839526
2012,Anton Babchuk,CGY,D,7,11.85,1,0,9,0,48,4,33,4,12.421384
2012,Frans Nielsen,NYI,F,48,18.017,23,29,47,6,421,41,396,34,14.069134
2012,Kyle Quincey,DET,D,36,19.2222,29,6,46,9,306,28,353,29,15.30639
2012,Jonathan Ericsson,DET,D,45,21.3244,67,8,40,14,471,44,413,34,14.359325
2012,Kevin Westgarth,CAR,F,31,5.7215,28,4,1,12,78,4,72,5,11.136318
2012,Aaron Johnson,BOS,D,10,14.87,18,0,5,5,57,5,81,4,16.626641
2012,Jay Harrison,CAR,D,47,19.9078,83,12,110,21,553,60,467,35,18.845713
2012,David Clarkson,N.J,F,48,17.5927,84,8,6,25,256,27,555,39,14.725442
2012,Jamie Benn,DAL,F,41,19.9102,71,41,32,11,364,41,421,45,20.488852
2012,Simon Gagne,PHI,F,38,14.1377,24,17,15,4,237,21,274,25,13.408785
2012,Patrik Berglund,STL,F,48,16.8285,53,10,24,6,327,35,360,39,14.3965
2012,Radek Dvorak,ANA,F,9,13.1333,2,4,1,1,52,2,47,4,10.058352
2012,Brent Burns,S.J,D,30,16.2817,54,5,13,9,208,21,298,27,16.832221
2012,Johan Larsson,MIN,F,1,14.0333,2,0,1,0,9,0,6,0,46.777778
2012,Johnny Boychuk,BOS,D,44,20.3951,79,4,87,6,473,37,450,34,25.682911
2012,Brandon Manning,PHI,D,6,14.8028,15,2,4,0,58,4,47,8,26.521234
2012,Drew Shore,FLA,F,43,15.807,37,19,18,7,294,35,412,25,12.211346
2012,Marc Methot,OTT,D,47,22.228,130,7,81,14,577,47,498,37,25.069506
2012,Henrik Sedin,VAN,F,48,19.3476,22,21,9,12,345,23,544,58,9.842576
2012,Alexander Urbom,N.J,D,1,14.1833,1,1,1,0,7,1,4,0,20.086546
2012,Grant Clitsome,WPG,D,44,18.8356,82,8,54,9,424,38,413,43,20.716277
2012,Brad Marchand,BOS,F,45,16.9644,38,28,20,12,328,19,474,48,17.085678
2012,Eric Wellwood,PHI,F,4,9.4167,2,3,1,0,18,0,13,0,31.388889
2012,Tanner Glass,PIT,F,48,10.0722,125,1,21,16,257,25,163,8,22.100039
2012,Chris Thorburn,WPG,F,42,6.3238,65,3,19,15,113,12,101,5,19.38979
2012,Cam Atkinson,CBJ,F,35,15.5862,24,19,16,2,222,17,266,25,17.747896
2012,Sheldon Souray,ANA,D,44,20.9292,34,9,58,22,438,38,435,54,12.480271
2012,Darcy Hordichuk,EDM,F,4,2.0333,6,0,0,1,6,1,2,0,12.119205
2012,Pierre-Marc Bouchard,MIN,F,43,13.9426,12,10,6,4,251,22,330,31,6.363299
2012,Mark Eaton,PIT,D,23,17.979,9,2,33,2,231,14,155,21,15.252181
2012,Michal Rozsival,CHI,D,27,18.1117,44,10,28,7,171,13,273,30,27.85194
2012,Richard Panik,T.B,F,25,11.3287,38,13,13,2,139,13,139,13,23.469222
2012,Zach Redmond,WPG,D,8,19.5792,12,1,8,5,47,5,77,5,16.934786
2012,Danny DeKeyser,DET,D,11,18.0485,9,5,9,1,95,2,95,6,27.832907
2012,Zac Dalpe,CAR,F,10,12.3017,14,4,4,0,77,11,100,4,12.74674
2012,Sidney Crosby,PIT,F,36,21.1042,21,15,18,8,329,24,516,73,11.347079
2012,Jack Johnson,CBJ,D,44,25.9739,66,9,90,6,587,47,502,42,21.8255
2012,Marc-Andre Bergeron,CAR,D,25,13.7653,16,7,19,3,135,15,233,20,15.103977
2012,Jack Hillen,WSH,D,23,17.6123,10,2,35,7,216,13,195,20,14.567255
2012,Jamie McBain,CAR,D,40,18.4242,22,8,63,5,390,37,404,33,14.722679
2012,Mikko Koivu,MIN,F,48,21.0903,47,26,18,13,392,41,590,52,12.536721
2012,Cam Fowler,ANA,D,37,20.4392,19,5,41,2,335,24,351,32,15.333775
2012,Anton Lander,EDM,F,11,11.0273,7,5,2,1,79,7,39,1,9.232358
2012,Corey Potter,EDM,D,33,17.454,50,8,36,3,291,16,231,22,26.350936
2012,Adam Hall,PHI,F,37,10.532,59,11,26,5,213,15,126,8,23.866281
2012,Shawn Horcoff,EDM,F,31,16.8548,24,6,20,12,294,18,224,31,10.538949
2012,David Moss,ARI,F,45,15.5504,73,15,34,9,341,28,330,28,20.702972
2012,Mike Weaver,FLA,D,27,20.1383,49,4,51,4,311,38,206,19,18.104831
2012,Radim Vrbata,ARI,F,34,18.3093,26,18,14,7,284,16,367,36,15.060542
2012,Zac Rinaldo,PHI,F,32,8.3797,143,4,12,20,122,13,87,6,33.432147
2012,Marcus Foligno,BUF,F,47,13.6273,108,18,16,16,283,29,338,28,21.591333
2012,Bill Sweatt,VAN,F,1,12.4,0,0,0,0,6,1,0,0,0.0
2012,Tyler Johnson,T.B,F,14,13.0738,18,2,4,2,90,6,78,8,16.124706
2012,Andrew Gordon,VAN,F,6,8.4222,4,1,1,0,24,1,19,0,15.586018
2012,David Perron,STL,F,48,17.9948,48,26,11,22,299,29,417,35,12.571004
2012,Filip Forsberg,NSH,F,5,15.4767,3,3,0,0,47,6,46,1,6.639497
2012,Francis Wathier,DAL,F,1,5.6667,5,1,0,0,2,0,1,0,170.0
2012,Kris Versteeg,FLA,F,10,16.8833,5,7,3,4,73,13,69,6,7.034397
2012,Riley Nash,CAR,F,32,12.8005,36,31,10,4,194,18,192,13,20.723641
2012,Daniel Sedin,VAN,F,47,19.0213,15,16,7,10,327,24,521,53,7.42314
2012,Mikkel Boedker,ARI,F,48,18.4767,77,27,17,6,424,31,485,38,20.184235
2012,Andrew Ference,BOS,D,48,19.4896,89,5,60,15,469,36,435,38,20.515789
2012,Ron Hainsey,WPG,D,47,22.8599,36,8,123,5,583,63,470,39,17.860363
2012,Jared Spurgeon,MIN,D,39,21.5436,46,10,55,2,355,33,461,39,21.562517
2012,Jay Bouwmeester,STL,D,47,24.634,41,11,61,11,558,66,467,52,11.339509
2012,Jason Spezza,OTT,F,5,19.1767,0,5,2,1,45,1,55,6,16.104535
2012,Brad Malone,COL,F,13,8.7885,39,6,3,5,52,11,42,3,21.900958
2012,Steve Eminger,NYR,D,35,13.0414,53,4,41,4,202,9,215,14,34.39912
2012,Tim Erixon,CBJ,D,31,15.6962,20,0,35,7,234,16,223,23,14.508798
2012,Eric Fehr,WSH,F,41,13.3711,36,23,22,5,259,14,261,32,21.110199
