season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2013,Brett Connolly,T.B,F,11,12.0182,9,3,1,2,56,10,66,5,7.803305
2013,Stephen Weiss,DET,F,26,14.7596,4,13,10,6,184,13,166,9,8.580568
2013,Ryan Whitney,FLA,D,7,16.7476,4,0,10,3,52,9,46,2,9.268504
2013,David Jones,CGY,F,49,15.4323,106,15,31,6,327,25,371,30,29.124741
2013,Stephane Da Costa,OTT,F,12,10.4097,14,7,3,1,56,4,67,9,23.122309
2013,Kyle Quincey,DET,D,82,20.8055,88,31,109,35,878,80,740,52,14.503779
2013,Mark Scheifele,WPG,F,63,16.3582,63,31,39,7,469,38,562,56,18.053326
2013,TJ Galiardi,CGY,F,62,14.6105,77,23,43,9,425,47,387,28,16.805992
2013,Erik Haula,MIN,F,46,10.1464,23,8,17,8,215,10,184,20,12.248076
2013,Zach Redmond,WPG,D,10,15.3333,7,2,11,0,56,5,70,6,23.115578
2013,Pierre-Luc Letourneau-Leblond,PIT,F,1,4.5667,0,0,1,0,5,0,1,0,9.133333
2013,Brian Boyle,NYR,F,82,12.7567,154,20,54,20,587,42,436,27,21.108178
2013,David Perron,EDM,F,78,19.1006,116,52,20,45,708,75,746,76,11.969428
2013,Justin Williams,L.A,F,82,16.9543,44,25,21,24,521,38,847,62,9.705626
2013,Braydon Coburn,PHI,D,82,22.4437,109,26,115,25,1027,104,786,67,14.305419
2013,Jake Gardiner,TOR,D,80,21.0762,108,33,87,8,893,61,863,75,20.472306
2013,Frans Nielsen,NYI,F,80,18.3317,39,50,47,4,661,85,782,81,10.874969
2013,Eric Gelinas,N.J,D,60,16.9239,99,12,20,11,393,37,508,55,18.393293
2013,Grant Clitsome,WPG,D,32,19.787,51,9,42,10,356,36,340,28,15.939585
2013,Dale Weise,MTL,F,61,8.4169,103,17,26,12,258,18,221,20,24.071567
2013,Pascal Pelletier,VAN,F,3,8.9444,3,0,1,0,11,0,8,0,32.525253
2013,Ryane Clowe,N.J,F,43,16.1295,82,8,19,9,294,34,358,35,17.802452
2013,Jason Zucker,MIN,F,21,12.9873,16,9,11,1,133,7,114,11,19.736006
2013,Patrick Maroon,ANA,F,62,12.3129,124,15,16,20,294,25,433,47,22.503756
2013,Brandon McMillan,ARI,F,22,12.5848,50,6,7,2,121,11,130,9,27.857941
2013,T.J. Oshie,STL,F,79,18.9842,77,62,54,21,602,54,764,90,18.086298
2013,Brenden Dillon,DAL,D,80,21.0933,168,15,149,33,905,81,799,67,21.159361
2013,Sean Collins,CBJ,F,6,8.175,9,2,1,0,23,1,18,2,31.467522
2013,Markus Granlund,CGY,F,7,12.0833,3,2,1,0,29,2,29,4,13.636364
2013,Eric O'Dell,WPG,F,30,9.6906,31,15,12,5,125,13,120,11,18.770738
2013,John Moore,NYR,D,74,15.3286,59,4,57,12,518,30,652,43,15.83259
2013,Nathan Horton,CBJ,F,35,15.8995,53,12,14,12,255,24,346,30,15.181151
2013,Ryan Wilson,COL,D,28,14.6667,53,5,17,6,242,21,185,20,17.241379
2013,Andrei Loktionov,CAR,F,68,12.9863,33,31,15,7,347,32,425,36,12.020599
2013,Colin Fraser,L.A,F,33,8.9884,58,2,20,12,118,6,120,2,25.700288
2013,Bryan Bickell,CHI,F,59,11.35,105,10,10,11,273,30,384,26,19.215142
2013,Brendan Smith,DET,D,71,18.3885,57,18,69,31,586,58,603,50,11.913848
2013,Jack Skille,CBJ,F,16,8.6615,19,5,6,3,70,4,53,6,19.891551
2013,Patrick Bordeleau,COL,F,82,6.887,178,8,14,17,279,15,202,15,27.581963
2013,Troy Bodie,TOR,F,47,8.633,64,6,19,7,220,9,188,15,21.454224
2013,Douglas Murray,MTL,D,53,14.3516,144,5,115,9,437,38,276,13,34.086672
2013,Keaton Ellerby,WPG,D,51,13.9088,76,13,46,1,355,23,329,27,27.259859
2013,Roman Josi,NSH,D,72,26.3887,32,22,150,9,941,89,956,89,15.262691
2013,Brett Gallant,NYI,F,4,6.8833,9,0,0,4,19,0,19,0,13.313037
2013,Dennis Wideman,CGY,D,46,22.6935,62,13,75,9,502,62,526,50,16.108093
2013,Phil Kessel,TOR,F,82,20.6663,25,37,30,12,927,82,1023,105,6.625582
2013,Luke Glendening,DET,F,56,13.914,92,12,38,11,444,38,281,14,17.550292
2013,Mike Hoffman,OTT,F,25,13.1853,18,18,7,1,155,9,205,14,19.76513
2013,Jason Akeson,PHI,F,1,13.3667,1,0,0,0,6,1,8,2,6.901893
2013,Brayden Schenn,PHI,F,82,15.7482,200,37,37,16,635,47,667,61,26.519001
2013,Eric Brewer,T.B,D,77,17.553,139,17,99,25,693,58,581,47,20.819664
2013,Erik Cole,DAL,F,75,15.1609,89,31,21,10,487,51,620,47,15.141407
2013,Brian Gionta,MTL,F,81,17.8459,46,38,52,10,762,50,645,55,13.242593
2013,Troy Brouwer,WSH,F,82,18.8494,210,34,39,30,795,63,834,91,20.935602
2013,Mike Sislo,N.J,F,14,8.8536,19,3,4,0,49,1,60,0,39.788876
2013,Tyson Strachan,WSH,D,18,17.3287,31,4,30,6,176,12,98,6,23.085207
2013,Bryan Allen,ANA,D,68,17.5502,121,8,118,30,648,60,551,56,19.460685
2013,Olli Maatta,PIT,D,78,18.4989,41,10,112,7,659,53,729,66,17.045987
2013,Andrew Shaw,CHI,F,80,15.6904,168,25,16,29,501,50,797,87,18.840656
2013,Jimmy Hayes,FLA,F,55,10.9673,115,14,19,9,300,28,303,30,22.997754
2013,Johan Sundstrom,NYI,F,11,8.6652,4,5,2,3,47,3,55,2,9.62883
2013,Blake Wheeler,WPG,F,82,18.6886,150,36,68,25,698,63,868,85,20.263435
2013,Niklas Kronwall,DET,D,79,24.3129,93,25,154,22,918,90,995,107,18.162662
2013,Chad Ruhwedel,BUF,D,21,17.8786,20,6,29,1,203,14,172,9,20.8694
2013,Brandon Saad,CHI,F,78,16.2904,48,50,20,10,487,50,741,76,13.126435
2013,Corey Potter,BOS,D,19,13.7719,20,6,18,4,131,13,104,14,16.596195
