season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2009,James Neal,DAL,F,77,18.2219,173,57,31,25,717,73,770,85,19.002778
2009,Adam Pardy,CGY,D,57,15.8515,54,16,60,22,398,37,445,27,15.456301
2009,Frans Nielsen,NYI,F,75,17.2582,39,60,41,3,597,52,693,56,15.626359
2009,Jay Leach,S.J,D,34,14.825,19,7,38,8,273,23,226,20,12.951575
2009,Jaroslav Spacek,MTL,D,74,21.7768,54,37,134,24,804,65,824,79,17.868485
2009,Kyle Quincey,COL,D,79,23.6103,115,47,143,35,986,86,869,87,18.73909
2009,Tyson Strachan,STL,D,8,14.0333,8,1,5,2,65,3,41,5,14.535142
2009,Nick Schultz,MIN,D,80,20.9675,84,15,158,20,870,85,703,58,17.543526
2009,Jeff Finger,TOR,D,39,13.788,77,8,84,7,308,38,222,19,25.097192
2009,Clarke MacArthur,ATL,F,81,14.6928,62,37,32,14,569,53,617,49,12.390466
2009,Tomas Kaberle,TOR,D,82,22.3291,44,16,98,12,719,79,1135,97,12.824656
2009,Ryan O'Reilly,COL,F,81,16.7663,37,69,53,9,805,75,528,42,12.044259
2009,Jesse Joensuu,NYI,F,11,11.1576,10,6,1,2,54,2,70,6,19.231289
2009,PA Parenteau,NYR,F,22,13.6932,15,9,4,2,130,14,160,16,10.983073
2009,Peter Mueller,COL,F,69,13.9889,39,28,12,8,420,36,551,52,10.672239
2009,Peter Regin,OTT,F,75,12.8933,68,50,27,10,339,26,555,41,23.277222
2009,Jim Slater,ATL,F,61,12.2057,105,35,28,24,472,37,328,29,16.855566
2009,Ben Eager,CHI,F,60,8.3286,51,12,6,33,194,14,273,23,9.816028
2009,Andreas Lilja,DET,D,20,14.1392,38,1,21,2,135,12,116,9,25.479929
2009,Steve Reinprecht,FLA,F,82,16.0884,32,38,64,9,647,45,646,60,14.222747
2009,David Krejci,BOS,F,79,18.2401,82,31,37,13,696,55,788,76,14.129919
2009,Alexei Ponikarovsky,PIT,F,77,16.4584,146,18,43,25,503,60,810,75,17.91249
2009,Jussi Jokinen,CAR,F,80,16.814,55,40,24,17,603,53,753,86,11.240937
2009,Max Talbot,PIT,F,45,12.2189,77,7,14,10,274,33,243,18,14.979144
2009,Erik Cole,CAR,F,40,16.37,94,17,20,13,349,34,332,24,19.174617
2009,Darryl Sydor,STL,D,47,16.7082,18,5,85,5,444,36,309,22,15.982514
2009,Rostislav Olesz,FLA,F,78,15.3949,81,48,34,14,603,47,599,43,16.272518
2009,Mike Weaver,STL,D,77,16.9582,48,30,127,13,726,53,507,40,18.839992
2009,Andrej Meszaros,T.B,D,81,20.1825,112,26,108,24,818,72,759,53,18.017999
2009,TJ Galiardi,COL,F,70,18.1817,87,59,43,14,739,67,497,54,15.53697
2009,Kenndal McArdle,FLA,F,19,8.8947,40,3,11,7,91,8,61,4,21.402439
2009,Ryan Parent,PHI,D,48,14.7694,46,10,42,10,426,37,280,13,12.921373
2009,Glen Metropolit,MTL,F,69,13.5657,32,18,29,12,428,29,455,40,10.889018
2009,Zach Parise,N.J,F,81,19.7679,108,49,34,16,669,49,1059,110,19.323624
2009,Tom Gilbert,EDM,D,82,22.4213,55,33,165,8,958,98,899,74,17.011017
2009,Rostislav Klesla,CBJ,D,26,20.1141,39,5,49,13,352,37,206,22,13.777745
2009,Tyler Bozak,TOR,F,37,19.232,52,26,15,3,319,37,389,36,16.434884
2009,Quintin Laing,WSH,F,36,9.6375,52,5,20,4,165,20,153,10,18.725397
2009,Rob Schremp,NYI,F,43,13.9205,18,37,18,4,249,22,335,31,16.633539
2009,Colton Orr,TOR,F,82,6.8665,119,9,26,55,276,19,239,15,13.485661
2009,Brian Rolston,N.J,F,80,16.9275,91,34,19,11,527,44,668,59,16.718375
2009,Yannick Weber,MTL,D,5,13.8767,1,4,3,2,35,6,35,1,7.602959
2009,Shawn Belle,MTL,D,2,10.6333,2,0,0,0,12,2,7,0,6.392786
2009,Mason Raymond,VAN,F,82,17.3305,64,44,19,19,646,64,844,77,10.559105
2009,Niklas Kronwall,DET,D,48,21.9149,86,20,62,16,480,37,585,45,22.429045
2009,Guillaume Latendresse,MIN,F,78,14.9536,157,33,20,8,528,45,584,59,23.780096
2009,Nick Tarnasky,FLA,F,31,6.8118,77,4,11,18,134,8,74,3,20.14378
2009,Steve Bernier,VAN,F,59,14.1757,105,16,32,9,371,27,404,36,24.609333
2009,Steve Staios,CGY,D,58,18.7046,54,12,116,33,613,70,475,31,13.404758
2009,Jared Boll,CBJ,F,67,7.1669,121,10,12,37,222,18,198,10,16.632613
2009,Sam Gagner,EDM,F,68,16.2882,30,14,16,15,471,46,616,59,6.672852
2009,Jannik Hansen,VAN,F,47,12.3355,48,20,11,8,298,34,256,20,11.941112
2009,Mark Mancari,BUF,F,6,14.0722,8,0,2,2,32,0,56,3,23.397377
2009,Darren Helm,DET,F,75,14.4942,188,39,48,9,617,56,513,36,25.565061
2009,Ben Maxwell,MTL,F,13,8.7795,4,1,1,3,76,4,38,2,3.832264
2009,Josh Gorges,MTL,D,82,21.0146,85,20,158,19,926,71,701,53,19.617418
2009,Kris Newbury,DET,F,4,8.6833,10,3,2,2,13,0,13,1,42.892426
2009,Adrian Aucoin,ARI,D,82,22.5476,132,17,67,28,842,71,916,74,15.842364
2009,Todd Bertuzzi,DET,F,82,16.7744,105,32,19,35,666,54,858,67,12.120894
2009,Mike Comrie,EDM,F,43,14.2341,20,15,28,12,261,26,343,31,11.182855
2009,Pavel Datsyuk,DET,F,80,20.3479,89,132,33,9,635,50,1014,96,28.157421
2009,Chris Phillips,OTT,D,82,22.3488,97,30,142,21,1020,91,788,76,17.064189
2009,John Erskine,WSH,D,50,15.9787,109,11,80,22,430,32,386,39,24.718554
2009,Steven Goertzen,CAR,F,6,7.7361,11,3,0,1,22,2,18,0,23.956989
2009,Daniel Alfredsson,OTT,F,70,19.6655,42,76,36,11,644,56,721,90,15.438946
2009,Jeff Penner,BOS,D,2,14.0167,4,0,4,0,12,1,12,1,43.100577
2009,Alec Martinez,L.A,D,4,15.4083,6,1,7,1,26,4,32,1,20.934897
2009,Mark Fistric,DAL,D,66,14.7859,170,8,78,23,496,25,467,42,31.393491
2009,Mike Mottau,N.J,D,79,22.2424,75,22,108,19,825,76,801,64,15.519567
2009,Jarkko Ruutu,OTT,F,82,13.3508,134,59,45,36,510,54,459,44,18.564754
2009,Troy Brouwer,CHI,F,78,16.3714,189,37,46,21,534,46,681,66,27.304324
2009,Justin Mercier,COL,F,9,7.1889,15,4,1,0,23,0,25,2,62.512077
2009,Ladislav Smid,EDM,D,51,19.1801,80,16,76,15,541,49,427,39,18.653809
2009,Triston Grant,NSH,F,3,7.2389,5,0,1,3,13,1,13,0,10.352225
2009,Brad Lukowich,VAN,D,13,11.2192,12,2,25,2,82,7,61,8,23.913354
2009,Joe Corvo,WSH,D,51,23.1889,34,23,65,6,576,61,656,53,13.284047
2009,Jason Jaffray,CGY,F,3,6.6556,4,0,0,0,9,1,11,0,17.004968
2009,Niclas Bergfors,ATL,F,81,15.421,18,35,6,5,524,46,704,61,6.942837
2009,Brad Winchester,STL,F,64,9.0664,143,7,12,34,259,14,311,22,21.157941
2009,Brian Boyle,NYR,F,71,8.4237,143,20,41,14,328,27,231,17,25.519868
2009,Peter Harrold,L.A,D,39,9.2483,22,6,18,4,156,12,137,9,13.995383
2009,Teemu Selanne,ANA,F,54,17.3204,14,17,13,8,430,29,585,66,7.116717
2009,Jared Ross,PHI,F,3,7.6444,4,4,1,0,4,1,12,0,59.083969
2009,Shaone Morrisonn,WSH,D,68,17.5679,163,12,104,21,647,66,565,58,22.531153
2009,Mario Bliznak,VAN,F,2,8.5167,0,0,1,0,12,2,7,0,2.93341
2009,Anssi Salmela,N.J,D,38,13.4728,48,9,30,11,273,24,259,22,15.742891
2009,Patric Hornqvist,NSH,F,80,15.6875,69,33,26,19,465,33,809,74,15.678313
2009,Jochen Hecht,BUF,F,79,17.1909,46,43,43,16,759,58,748,67,11.172126
2009,Ruslan Salei,COL,D,14,18.7726,21,1,20,4,125,16,130,11,15.754746
2009,Willie Mitchell,VAN,D,48,22.609,32,23,79,16,593,51,461,44,14.373293
2009,Vinny Prospal,NYR,F,75,20.0916,95,44,29,16,656,56,856,98,16.05343
2009,David Backes,STL,F,79,18.2992,266,40,60,40,672,66,734,67,25.644079
2009,Matt Martin,NYI,F,5,13.2367,15,1,3,5,24,2,44,3,21.558705
2009,Mark Eaton,PIT,D,78,19.7654,27,3,133,13,745,74,708,63,13.072193
2009,Steve Eminger,ANA,D,63,19.4553,102,10,99,15,698,57,503,49,19.559289
2009,Nicklas Lidstrom,DET,D,82,25.4207,56,36,82,12,933,74,1246,125,14.18066
2009,Derek Dorsett,CBJ,F,50,10.9007,97,5,24,37,236,13,256,19,17.585472
2009,Ryan Kesler,VAN,F,82,19.6258,95,83,73,37,799,82,920,98,15.715819
2009,Andrew Peters,N.J,F,29,5.1977,29,0,3,19,71,6,62,1,8.277314
2009,John Mitchell,TOR,F,60,15.8239,87,20,40,9,464,38,470,33,19.260311
2009,Petr Kalus,MIN,F,2,7.7333,4,0,0,0,4,0,3,0,77.333333
2009,Maxim Noreau,MIN,D,1,7.0167,0,0,0,0,3,0,1,0,0.0
2009,Derek Roy,BUF,F,80,19.3663,27,51,47,24,755,59,879,85,10.247132
2009,Alex Plante,EDM,D,4,13.6,7,1,2,1,27,1,17,2,25.092251
2009,Todd White,ATL,F,65,15.2456,31,52,28,12,502,47,525,43,12.07474
2009,Darren Haydar,COL,F,1,5.3667,0,0,0,0,5,0,5,0,0.0
2009,Matt Niskanen,DAL,D,73,18.2733,111,21,70,9,542,47,747,49,23.581386
2009,Denis Grebeshkov,NSH,D,51,21.4026,46,15,55,16,613,57,507,44,11.412677
2009,P.K. Subban,MTL,D,2,20.1,1,2,2,1,8,0,20,2,35.765125
2009,Perttu Lindgren,DAL,F,1,8.55,0,0,0,0,1,0,2,0,0.0
2009,Michal Repik,FLA,F,19,8.5772,28,10,5,3,68,4,79,5,28.804927
2009,Nolan Baumgartner,VAN,D,12,14.2069,10,1,26,1,106,4,85,11,29.692308
2009,Dustin Byfuglien,CHI,D,82,16.4203,215,48,38,34,498,45,797,65,27.531764
2009,DJ King,STL,F,12,4.5014,18,1,2,9,22,4,28,0,11.74012
2009,Kris Versteeg,CHI,F,79,15.7274,35,61,26,16,497,49,713,64,12.629289
2009,Paul Kariya,STL,F,75,17.1533,36,24,25,18,570,53,745,58,8.155066
2009,Trevor Daley,DAL,D,76,22.2217,36,23,131,11,962,80,824,72,14.14838
2009,Bryan Rodney,CAR,D,22,16.7318,24,7,17,4,189,20,201,23,13.599335
2009,Valtteri Filppula,DET,F,55,18.2339,34,24,25,12,510,45,591,44,9.768174
2009,Brett Festerling,ANA,D,42,12.5,127,5,27,6,277,19,221,18,33.715013
2009,Francis Wathier,DAL,F,5,5.2967,2,0,0,1,14,0,5,0,5.489722
2009,Andre Deveaux,TOR,F,1,6.15,1,0,0,0,6,1,2,0,5.061728
2009,Luca Sbisa,ANA,D,8,12.6292,6,1,5,3,60,2,37,1,12.306547
2009,Guillaume Lefebvre,BOS,F,1,11.0167,2,0,0,0,5,0,5,0,44.066667
2009,Matt Smaby,T.B,D,33,13.4788,69,2,41,12,246,24,204,15,20.644819
2009,Jason Garrison,FLA,D,39,15.1338,37,4,52,10,329,23,261,24,16.989568
2009,Zbynek Michalek,ARI,D,72,22.5947,80,16,156,15,922,80,734,69,18.555871
2009,Mattias Ritola,DET,F,5,11.6967,7,2,2,0,20,0,31,0,64.331667
2009,Lars Eller,STL,F,7,10.819,8,1,1,2,35,1,47,4,16.038402
2009,Mikko Lehtonen,BOS,F,1,7.1333,0,0,0,0,1,1,5,0,0.0
2009,Nate Prosser,MIN,D,3,19.6111,2,0,5,3,19,0,23,3,17.637402
2009,Richard Park,NYI,F,80,15.77,38,61,56,14,800,93,516,44,9.826967
2009,Guillaume Desbiens,VAN,F,1,9.4167,1,0,0,1,3,0,1,0,7.583893
2009,JT Wyman,MTL,F,3,4.3889,2,0,2,0,10,2,2,0,9.349112
2009,Sean Avery,NYR,F,69,13.3785,145,17,17,49,391,32,514,44,16.239364
2009,Rich Clune,L.A,F,14,7.2833,23,1,1,7,43,1,41,2,17.980579
2009,Maxim Afinogenov,ATL,F,82,17.3937,32,65,21,23,691,74,775,85,8.630335
2009,Gilbert Brule,EDM,F,65,14.2264,115,25,25,16,439,46,468,47,17.769047
2009,Jordin Tootoo,NSH,F,51,10.8408,72,13,7,14,261,20,310,21,15.841419
2009,Raymond Sawada,DAL,F,5,8.1533,6,1,0,0,15,1,15,2,24.650158
2009,Andrew Brunette,MIN,F,82,17.027,33,15,20,6,542,54,789,87,7.404848
2009,Brandon Bochenski,T.B,F,28,12.2726,18,12,10,1,136,13,193,17,15.947959
2009,Brett Sutter,CGY,F,10,9.6633,9,1,3,1,45,4,41,1,13.462047
2009,Alex Ovechkin,WSH,F,72,21.7975,185,66,20,28,623,45,1108,148,26.678133
2009,Tim Connolly,BUF,F,73,18.6167,23,22,46,14,703,52,830,84,8.770082
2009,Alexandre Picard,CAR,D,54,18.384,70,17,77,13,444,47,496,48,19.48866
2009,Chris Kelly,OTT,F,81,14.9652,65,40,44,19,630,68,475,42,11.541656
2009,Kris Draper,DET,F,81,11.5412,100,12,19,14,493,39,459,32,13.686221
2009,Matt Hunwick,BOS,D,76,17.9555,65,8,65,16,740,56,624,38,12.189409
2009,Zach Boychuk,CAR,F,31,10.7532,23,10,7,1,165,13,167,15,13.631299
2009,Kyle Chipchura,ANA,F,74,11.4914,63,23,28,21,521,47,322,19,10.058401
2009,Alexandre Giroux,WSH,F,9,10.3722,14,4,1,2,56,4,54,7,16.668076
2009,Kamil Kreps,FLA,F,76,12.7079,80,32,50,9,601,57,359,28,14.299152
2009,Josh Hennessy,OTT,F,4,5.9792,6,0,0,0,7,2,11,1,18.923077
2009,Robyn Regehr,CGY,D,81,21.6412,125,18,81,34,976,86,746,67,13.567595
2009,Jay McKee,PIT,D,61,15.4314,59,4,136,14,520,57,430,40,19.007143
2009,Mike Blunden,CBJ,F,40,8.1121,83,3,7,18,150,6,126,10,21.887022
2009,Toby Petersen,DAL,F,77,10.8584,93,17,42,3,440,33,378,24,19.863707
2009,Mikhail Grabovski,TOR,F,59,16.7941,26,30,27,5,424,42,645,55,11.488365
2009,Brendan Witt,NYI,D,41,15.3244,79,10,73,18,425,50,249,13,16.921964
2009,Marian Gaborik,NYR,F,76,21.2322,59,25,31,17,723,65,930,111,9.909351
2009,Nazem Kadri,TOR,F,1,17.4333,1,0,1,0,1,1,13,1,18.915009
2009,Vladimir Mihalik,T.B,D,4,11.5375,3,0,2,1,19,5,13,0,6.53868
2009,John Tavares,NYI,F,81,18.0134,42,55,27,11,652,63,860,83,11.252746
2009,Sami Salo,VAN,D,68,20.6789,43,16,60,9,705,65,683,84,11.00907
2009,Ray Whitney,CAR,F,79,19.1658,24,63,27,13,683,61,869,93,10.398011
2009,Sergei Kostitsyn,MTL,F,50,14.0617,31,22,16,6,382,31,280,27,10.753349
2009,Peter Olvecky,NSH,F,1,7.8833,0,1,0,0,2,0,3,0,39.416667
2009,Justin Williams,L.A,F,49,16.3762,34,18,17,13,302,29,500,44,11.416015
2009,Dave Scatchard,NSH,F,16,10.7052,18,7,3,7,86,4,94,8,14.710925
2009,Joel Ward,NSH,F,71,17.5437,42,62,62,9,616,67,496,44,14.939827
2009,Dennis Wideman,BOS,D,76,23.5504,100,11,110,16,929,78,950,68,16.560851
2009,Anton Klementyev,NYI,D,1,6.3333,1,0,0,0,1,0,2,0,63.333333
2009,Petr Sykora,MIN,F,14,11.9845,2,2,1,4,77,10,74,4,2.447986
2009,Mikko Koivu,MIN,F,80,20.7437,50,55,52,25,719,76,854,92,11.572961
2009,Brian Gionta,MTL,F,61,20.7347,36,36,33,13,655,57,761,72,10.335708
2009,Maxim Lapierre,MTL,F,76,12.2643,164,25,36,25,497,43,340,21,20.732689
