season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2019,Evander Kane,S.J,F,64,19.506,134,45,24,34,573,64,718,74,15.937119
2019,Ilya Lyubushkin,ARI,D,51,14.167,150,13,54,9,387,25,364,27,35.389849
2019,Frans Nielsen,DET,F,60,13.6692,44,11,35,4,448,43,326,17,11.281802
2019,Josh Anderson,CBJ,F,26,16.0923,68,9,13,7,221,22,221,13,21.060874
2019,Auston Matthews,TOR,F,70,20.9262,40,78,60,4,663,57,960,113,19.205292
2019,Gabriel Carlsson,CBJ,D,6,10.8778,5,0,0,1,34,3,29,1,7.016915
2019,Jayson Megna,COL,F,8,6.7125,10,0,5,1,29,2,22,1,20.490969
2019,Vince Dunn,STL,D,71,16.1141,50,12,47,12,497,39,647,67,13.31825
2019,Jake DeBrusk,BOS,F,65,16.009,35,26,15,7,482,36,629,67,10.395563
2019,Johnny Boychuk,NYI,D,64,17.2435,135,6,127,7,678,63,475,34,24.515367
2019,Thomas Chabot,OTT,D,71,25.9749,79,42,85,21,932,90,1024,87,14.024976
2019,Alexandre Carrier,NSH,D,3,10.75,3,0,0,1,16,0,23,2,12.056075
2019,Givani Smith,DET,F,21,9.6437,42,2,3,3,99,5,86,5,25.731117
2019,Dante Fabbro,NSH,D,64,19.0216,54,23,85,19,573,55,608,46,15.558429
2019,Brendan Gallagher,MTL,F,59,16.9037,53,39,29,13,432,49,722,73,13.819636
2019,Matt Duchene,NSH,F,66,16.8715,40,31,22,12,485,48,723,63,10.479255
2019,Rudolfs Balcers,OTT,F,15,12.25,19,7,7,0,86,8,94,8,21.970109
2019,Mark Scheifele,WPG,F,71,21.7944,34,57,48,16,825,85,961,118,10.010528
2019,Peter Cehlarik,BOS,F,3,11.2444,2,3,2,1,14,2,23,1,16.489758
2019,Aleksi Saarela,FLA,F,9,12.2444,1,6,3,0,66,4,62,7,10.649401
2019,Jordan Staal,CAR,F,68,17.477,149,30,36,20,580,60,613,50,18.99519
2019,Keegan Kolesar,VGK,F,1,12.1,2,0,0,0,7,0,4,0,34.571429
2019,Colin Blackwell,NSH,F,27,10.9543,43,6,23,5,135,11,155,18,25.420225
2019,Steven Stamkos,T.B,F,57,18.2523,69,23,38,10,507,51,620,86,14.643389
2019,Dalton Smith,BUF,F,1,1.4333,0,0,0,1,0,0,1,1,0.0
2019,Michael Sgarbossa,WSH,F,2,8.1083,3,2,0,0,9,0,7,0,45.046296
2019,Tim Heed,S.J,D,38,12.9917,16,10,30,1,201,23,256,12,14.187467
2019,Troy Terry,ANA,F,48,14.4194,3,32,9,3,305,25,375,25,8.951824
2019,Colton Parayko,STL,D,64,22.6503,87,33,105,9,703,68,679,69,20.826166
2019,Milan Lucic,CGY,F,68,13.3032,197,19,20,16,406,38,495,44,27.922714
2019,Anthony Angello,PIT,F,8,5.7188,13,1,5,2,26,3,23,2,19.90269
2019,Alexander Radulov,DAL,F,60,16.7072,48,27,42,23,449,26,606,53,15.420179
2019,Dominik Simon,PIT,F,64,14.3826,57,41,20,5,470,46,516,35,14.101594
2019,Brett Kulak,MTL,D,56,17.1205,59,13,51,6,449,43,569,38,16.35077
2019,Jake Guentzel,PIT,F,39,20.5944,46,21,19,7,346,36,549,60,14.381115
2019,Erik Karlsson,S.J,D,56,24.5315,26,52,74,8,683,83,759,68,12.790123
2019,Brad Richardson,ARI,F,59,13.6364,77,12,44,10,493,45,332,26,14.590832
2019,Brent Burns,S.J,D,70,25.3571,72,49,115,17,938,99,915,89,15.425689
2019,Daniel Carr,NSH,F,11,10.3364,10,8,2,2,61,9,55,4,11.833273
2019,Yakov Trenin,NSH,F,21,9.7492,46,7,9,3,88,8,93,9,30.959171
2019,Trevor Daley,DET,D,43,15.6434,9,5,44,10,390,44,278,20,7.348225
2019,John Klingberg,DAL,D,58,22.1532,28,24,72,12,645,52,731,61,13.316797
2019,Miro Heiskanen,DAL,D,68,23.7194,40,42,83,6,798,62,846,76,16.233223
2019,Patrik Nemeth,DET,D,64,22.0206,79,10,92,13,836,86,589,39,13.215103
2019,Jansen Harkins,WPG,F,29,10.604,8,7,10,1,163,13,152,11,8.511645
2019,Torey Krug,BOS,D,61,20.5063,36,22,48,15,501,53,833,91,11.467948
2019,Josh Brown,FLA,D,55,13.4236,77,10,52,13,378,32,349,31,18.999639
2019,Jaret Anderson-Dolan,L.A,F,4,10.2583,3,0,0,0,21,1,18,0,9.845375
2019,Matt Grzelcyk,BOS,D,68,18.0395,56,22,67,17,573,36,653,59,17.106379
2019,Matt Tennyson,N.J,D,20,12.1575,27,2,18,3,133,18,119,16,14.715206
2019,Neal Pionk,WPG,D,71,23.3545,165,31,79,16,855,75,1007,98,21.550084
2019,Sebastian Aho,CAR,F,68,19.375,55,71,20,13,591,67,882,93,13.212284
2019,Jordan Martinook,CAR,F,45,11.2533,72,24,23,11,254,24,229,18,20.670097
2019,Nick Seeler,CHI,D,12,11.9278,19,1,21,6,89,10,51,2,17.475383
2019,Colton White,N.J,D,6,13.9861,3,2,4,2,64,5,25,3,7.774728
2019,Alex Biega,DET,D,49,16.4143,115,4,46,12,460,39,323,17,20.879635
2019,Roope Hintz,DAL,F,60,14.7331,74,23,28,8,418,29,498,47,19.12146
2019,Otto Leskinen,MTL,D,5,10.2933,13,1,1,0,29,2,20,2,31.137403
2019,Alexander Steen,STL,F,55,13.7573,26,16,45,6,397,46,316,35,10.759675
2019,Joey Anderson,N.J,F,18,13.2306,16,4,6,1,139,13,97,11,10.609654
2019,Stefan Matteau,CBJ,F,9,12.3722,27,2,10,1,61,5,62,5,35.680306
2019,Klim Kostin,STL,F,4,8.5375,6,0,0,0,19,0,19,1,26.960526
2019,Brent Seabrook,CHI,D,32,18.1599,52,3,61,4,368,30,283,24,21.376801
2019,Barclay Goodrow,T.B,F,70,15.9038,161,44,67,26,586,59,511,43,22.323166
2019,Drake Caggiula,CHI,F,40,11.81,81,19,16,13,274,32,233,26,17.008629
2019,Zach Whitecloud,VGK,D,16,14.1917,10,9,16,1,80,7,100,8,25.66526
2019,Jonny Brodzinski,S.J,F,3,7.4,3,0,0,0,9,2,17,2,9.327731
2019,Austin Poganski,STL,F,1,5.9,0,0,0,0,4,0,1,0,0.0
2019,Nicholas Shore,WPG,F,63,9.1667,55,14,20,10,341,19,209,12,13.444109
2019,Kaapo Kakko,NYR,F,66,14.2611,20,35,11,7,531,47,522,44,7.234135
2019,Vladimir Tarasenko,STL,F,10,16.175,17,3,7,0,73,10,89,11,18.603834
2019,Max Jones,ANA,F,59,14.0723,82,18,17,18,417,29,377,22,15.267644
2019,Connor Murphy,CHI,D,58,21.2437,128,17,138,12,737,67,594,55,24.891665
2019,Travis Boyd,WSH,F,24,11.7868,14,7,9,1,111,8,141,18,16.289024
2019,Pavel Buchnevich,NYR,F,68,16.8995,80,38,22,12,522,56,693,81,14.157363
2019,Zemgus Girgensons,BUF,F,69,13.8031,110,13,20,5,534,53,368,27,14.790016
2019,Christian Dvorak,ARI,F,70,16.6579,38,20,36,6,578,47,709,72,10.718561
2019,Joel L'Esperance,DAL,F,3,7.3444,1,1,1,1,12,1,6,1,8.25562
2019,Travis Konecny,PHI,F,66,16.7015,63,29,30,13,505,50,705,73,13.084965
2019,Matt Nieto,COL,F,70,13.4902,37,19,23,3,547,50,425,37,8.444877
2019,Jason Robertson,DAL,F,3,12.3222,1,1,0,0,22,2,19,4,5.283468
2019,Alexander True,S.J,F,12,10.0028,23,2,2,1,62,6,68,6,20.457214
2019,Cale Fleury,MTL,D,41,14.3492,104,5,45,3,308,23,281,17,32.445212
2019,Rocco Grimaldi,NSH,F,66,12.6376,23,27,14,5,437,30,497,43,9.198141
2019,Nicklas Backstrom,WSH,F,61,18.971,29,34,45,7,528,64,764,88,10.927646
