season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2015,Mikko Koivu,MIN,F,82,19.9291,38,37,57,20,674,70,882,95,10.660641
2015,Trevor van Riemsdyk,CHI,D,82,19.9837,44,17,155,14,852,74,754,58,16.534662
2015,Kyle Quincey,DET,D,47,19.7635,49,8,62,18,487,45,397,33,13.578055
2015,Filip Forsberg,NSH,F,82,19.0526,114,72,41,17,713,74,893,94,17.676012
2015,Brian Campbell,FLA,D,82,22.2778,27,23,80,13,798,59,941,99,12.057094
2015,Chris Terry,CAR,F,68,11.2748,82,21,21,8,341,32,352,20,17.652613
2015,Kyle Baun,CHI,F,2,9.05,3,0,0,0,14,2,5,0,8.457944
2015,James van Riemsdyk,TOR,F,40,17.7629,52,29,7,3,315,27,451,40,18.435661
2015,Scott Harrington,TOR,D,15,13.0944,23,1,16,2,100,5,89,5,27.328328
2015,Ryan Spooner,BOS,F,80,15.141,53,25,19,11,575,49,758,67,9.900358
2015,Johan Larsson,BUF,F,74,14.8196,113,21,33,12,559,35,514,40,19.711916
2015,Josh Morrissey,WPG,D,1,15.9,1,0,2,0,9,0,3,0,53.0
2015,Christoph Bertschy,MIN,F,3,6.9444,7,0,2,0,12,0,6,0,52.083333
2015,Blake Pietila,N.J,F,7,12.0333,19,0,3,1,46,2,28,2,32.245229
2015,Michael Grabner,TOR,F,80,14.4692,41,66,55,6,659,55,450,29,15.204825
2015,Kerby Rychel,CBJ,F,32,9.5141,39,9,9,6,149,8,115,13,19.217136
2015,Zack Kassian,EDM,F,36,12.4519,95,11,6,23,220,17,182,10,19.421498
2015,Nikolay Goldobin,S.J,F,9,11.1852,0,3,1,0,54,2,36,3,5.85839
2015,Eric Gryba,EDM,D,53,17.8824,132,16,78,30,530,38,403,31,23.146703
2015,Dominic Moore,NYR,F,80,13.295,51,24,35,16,625,55,382,29,9.321232
2015,Brendan Gaunce,VAN,F,20,12.7583,34,11,3,1,150,16,117,3,16.691576
2015,Greg McKegg,FLA,F,15,8.2578,20,4,6,1,73,3,52,3,23.364212
2015,Paul Stastny,STL,F,64,19.1516,32,20,40,13,604,59,715,78,8.885635
2015,TJ Brennan,TOR,D,7,15.0976,7,2,5,3,54,8,44,3,9.604354
2015,Drew Doughty,L.A,D,82,28.0179,125,10,105,26,997,84,1258,105,16.485281
2015,Brock McGinn,CAR,F,21,11.1841,28,4,6,5,126,20,103,6,10.478143
2015,Mark Borowiecki,OTT,D,63,14.627,271,3,99,29,578,57,343,26,29.717325
2015,Nikolay Kulemin,NYI,F,81,14.0609,107,32,50,11,633,47,492,46,18.34623
2015,Jamie McGinn,ANA,F,84,14.2927,164,18,27,10,491,48,636,66,22.630485
2015,Mirco Mueller,S.J,D,11,10.603,2,1,3,2,51,4,54,0,5.550444
2015,Chris Neil,OTT,F,80,9.2981,215,11,12,34,360,26,321,23,24.109205
2015,David Backes,STL,F,79,19.2302,239,39,63,37,731,56,802,76,26.027914
2015,Brendan Smith,DET,D,63,17.6032,94,10,42,28,498,47,580,44,14.134912
2015,Erik Condra,T.B,F,54,10.7068,20,15,16,17,261,34,256,19,6.765985
2015,Mika Zibanejad,OTT,F,81,17.7595,111,39,43,8,766,76,769,76,15.18108
2015,Nic Petan,WPG,F,26,11.7474,7,11,4,5,124,5,148,10,10.702734
2015,Brock Nelson,NYI,F,81,15.8033,59,48,50,15,583,54,632,56,14.82656
2015,Blake Comeau,COL,F,81,17.6228,173,31,35,24,708,67,649,55,18.219916
2015,Anthony Mantha,DET,F,10,11.7,4,4,3,1,53,10,86,10,7.083104
2015,Darren Dietz,MTL,D,13,14.5372,38,3,14,5,80,10,95,9,26.825172
